用户名,性别,评分,城市,评论,用户等级
社会闲散人员,1.0,5.0,佳木斯,父爱太伟大了,1
呆头鹅1996,1.0,5.0,西安,翻牌得炒鸡无敌成功，略微烧脑，陈思诚真的有才！,3
星空下的留恋,,5.0,长沙,挺好看的，最后的时候很感人的,2
包子7197Fo,,5.0,柳州,没想到他没死！,1
AAA-深莞惠置业经理-赵尚勇,1.0,5.0,惠阳,经典？厉害，好看,2
rQm707107084,,4.5,天津,你好哈哈哈哈哈哈来,2
Ojbk,1.0,4.0,芜湖,真的是细思极恐吗！其实让人不经在想的是细节。都会发现一些意犹未尽的东西，期待续集,5
紫木木君,1.0,2.5,上高,此片翻拍印度的《误杀瞒天记》，比不上前作。广电大大把这个给限死了。,3
Spa640108078,1.0,5.0,西双版纳,真的是部好电影，感谢演员和导演没有辜负剧本！不过我还是有几个问题，1.有没有第二部？如果没有那么坑是否应该填一下！ 2.最后的彩蛋男主对天发笑是什么意思？ 包括小卖铺的老板对镜头笑是什么意思！3.妻子女儿结局如何？ ,4
小小鑫～先生,,5.0,深圳,"个人感觉10分，没毛病。
   亲情的伟大，真的不是能想像的
   加油💪 ",1
avrilhh,2.0,4.0,南京,虽然知道改编印度的误杀瞒天记，但感觉跟少年的你部分情节也有点像 也是女的被强 然后误杀 男的帮处理尸体并顶罪 最后女的也自首了 是不是一样？,2
听鼓楼,,5.0,珠海,为优秀国产片点赞,1
XRA529030365,,5.0,郑州,好看，挺不错的，最后都哭了,2
秦,2.0,5.0,广州,近乎完美。着实不错。感受到影片里父爱的伟大。,3
随便起的名字521,,5.0,广州,特别好看，全程无尿点，画面镜头用的很棒，令人印象深刻。这部影片最好的点就是故事通俗易懂，但是却是那种你能想到但又不容易想到的情节。很刺激，很好看,2
春天的味道32,,4.5,北京,不错  真的看一看,3
天龙,1.0,5.0,佛山,太牛逼了，真的超好看,5
bHJ173459383,,5.0,扬州,影片太有节奏感,3
(ʚ唁ྂɞ)Ｉ Lᵒᵛᵉᵧₒᵤ💓,2.0,5.0,福清,太好看了！太帅气了！期待有下一部！😍 😍 😍 ,1
PaT107668371,,4.0,成都,很难得的国产电影  可以看看,2
未来可期zmq,2.0,5.0,肥东县,太好看了，期待第二部,3
sXD732396051,,5.0,南昌,很刺激，特别是挖尸体那里，大转折啊，意想不到,3
qzuser,1.0,2.5,中山,还行挺好看的。,3
sKb170649249,,5.0,汕头,超级好看。不看会后悔,2
浩睿0377,,5.0,南阳,演技很棒，值得观影,3
HYe497597202,,5.0,太原,"对父爱再次刷新三观
生活中父亲也是这样
表面不爱我们，只有母亲在保护我们
但当你遇到真正的困难时，这是你猜发现，那个男人……
♥♡♥♡♥♡",1
MooNligHt,2.0,3.0,江门,自古邪不胜正，什么是邪什么是正？,3
MVw257057764,1.0,4.5,南通,"每个人心中都有一把尺
当你心中有了必须要守护的东西
对与错也便不再重要",2
Notafraid1.1,,0.5,成都,翻牌还那么火。。。,2
南极星℃。,2.0,5.0,西安,我今年看的国产片最优秀的一部，太好看了，最后电影独白，讲述父女之间感情的变化，看哭了已经，就是我自己的真实写照，包括在天台的时候，男人对妻子说的话，找老公就得找这样的，，好评好评！,3
曾珧,,5.0,长沙,电影挺不错的，就是最后面的彩蛋，不知道也没放出来,2
陈陈19941994,2.0,5.0,南安,真的超级好看,2
丿东条希,1.0,4.5,上海,翻拍得不错👍,4
寿司丶,,5.0,扬州,有深度 。。好看,1
你要的love,1.0,4.5,广州,总体还不错，结尾有点快，但是值得回味的电影,2
女孩呀🇨🇳,2.0,5.0,霸州,好看真的真的真的真的,1
明先森,1.0,5.0,重庆,真的好看，剧情很连贯，也很紧凑。发现肖央的演技真的还可以,2
👾,2.0,3.5,西安,自我感觉 有些细节还是不够完整。,3
taoqidemao142,2.0,5.0,惠阳,整个故事链接非常完美，没有拖拖拉拉。男主手段太高明了。,2
倩,2.0,5.0,厦门,观影感受很好，就是男主自首情节一看就是为了过审，略有刻意,2
Star丿丶熙,1.0,5.0,深圳,"非常好,教育很重要",2
zcxia💕🐠,2.0,5.0,惠州,挺好看的，不错,5
qaD883972922,2.0,4.0,苏州,演员演技真的很棒，可惜我看过印度原版。没啥太大的期待,4
z60238,1.0,5.0,深圳,"个人推理：
1：警察局长的儿子一开始只是昏迷，并没有死，也没有流血，被埋至棺材后，缺氧而死，棺材板上有明显的抓痕。
2：羊被警察枪杀后，李维杰打开棺材把尸体转移，才发现有抓痕，那一刻才知道自己的老婆误杀了这个男孩，而棺材上的血迹是来自羊的血。
3：男孩的尸体被埋放在那个施工现场的大坑里。
4：李维杰只处理了男孩的小轿车（本田），并没有处理男孩的尸体，尸体是餐厅老板（颂恩）协助处理的，从结尾的迷之微笑，就有了明确的答案。
5：全程高智商犯罪，完美的偷天换日，本没想过自首，下着大雨，打开棺材的那一刻，他又想起了自己老婆误杀了男孩的情景，李维杰自己也是为人父母，没法逃避误杀的罪过，选择自首。",4
mjw950605,,5.0,合肥,好评 好看 好,4
Troy’sS,1.0,4.5,成都,好看……感觉比之前印度那个稍好看一点……,3
ygz雀之梧栖556,,5.0,铜川,很精彩，演员演技在线，肖央的一个眼神都让人看的惊心动魄，我看的最投入部分是两个母亲的对峙，一个母亲面临崩溃也用尽手段，一个母亲即使颤抖也要挡在女儿的前面，毫不畏惧。父爱也是如此，到最后才敢吐露出女儿青春期不崇拜和依赖父亲，父亲有多么失落，用这样的方式告诉她我依然挡在你的前面，你不要畏惧。情节紧凑让人猜不到结尾，处处都是反转。,3
SGW161453707,1.0,5.0,高密,真是个人才。,2
vXd471308548,2.0,5.0,济宁,特别能带入，喜欢！！！！！！！,2
凉~小伙、,,1.5,昆明,与印度原版对比，它只是改编了一点，结局不同，中国版的是必须坏人收到惩罚，但，总体还是印度原版好！！！,2
杨ZZZ坤,1.0,5.0,广州,好看。。。。。,3
爱丫我素,,5.0,南宁,不错！节奏刚刚好！,3
omioimo,1.0,5.0,郑州,剧情一步步铺垫的很舒服，紧凑，挺好的！,3
大理论家536,1.0,3.5,郑州,"不错的国产电影，值得一看，肖央的演技不错。
美中不足是没有把怎么掩盖的犯罪过程说清楚，直接就过度到了最后的结果，逻辑上有瑕疵。
局长后期的软弱与前期的狠心形成反差，这个人设没立住，失望，可能也是因为身份由狼变成了羊吧。
虽然前面有暗示，但是看到最后因为为了政治正确去自首的时候还是有点失望，鼓励分7分。",3
aAh736137079,1.0,3.0,阎良,还可以，翻拍的不错,2
courage,2.0,5.0,重庆,"很惊喜，很棒，演技派
结构紧凑，很有调理，前面为后面都会有铺垫",2
xCY100222498,1.0,2.0,杭州,如果要翻拍那请有个翻拍的样，不要弄得不伦不类的，本来是一部好剧被最后结尾给毁了！难道又是因为肿菊的原因吗？ 各位有机会看看印度的原版《误杀瞒天记》,2
AIMEE李李李,2.0,4.5,锦州,是好电影值得票价！个人感觉评分略高，8.6～9.0之间吧,3
傲九天,,5.0,惠阳,气氛可以    结局总感觉是为了迎合正义和忏悔而设计的,4
兮云长空,2.0,4.0,义乌,和朋友一起去看的。觉得还行，情节紧凑，故事完整，演员看着也不尴,2
枝Zzzzzz,2.0,5.0,成都,其实蛮不错的，适合和弟弟啊家人一起看。节奏前面的节奏有点慢，但是整体来说不错的，陈冲演技太好了，电影院环境不错,1
cgm12858,,4.5,洛阳,不错，剧情非常紧凑，没有多余细节,3
xfR926333609,,5.0,南通,这是一部好电影，大赞,2
云之歌🌸,,5.0,西安,挺不错的一部电影，好评！,1
迂山迂海、逢釪鎀,,5.0,南昌,希望国产能拍出越来越多像这样有质量的电影，一个字棒,2
关禁闭,1.0,4.5,广州,剧情非常不错，演员演技在线，中途我都看的很紧张，尤其两个母亲的对话，爆发了。不过，结尾不是很明白：局长儿子究竟去哪里了？既然主角要自首，又何必越狱？我觉得最后安排，知道真相，法官或者陪审员一致认为母女无罪，或者有罪，但不收监，保释或者社区劳动代替，会不会更好一点，个人之见。,1
苒苒苒0508,,4.5,扬中,给9分，还有一分不给是因为不自首不能过审的烂尾结局，本来很好的电影，结尾很不爽,2
jPZ295209312,,5.0,大连,演技太高了n..,3
奇葩奇葩一家亲´`,2.0,5.0,闽侯县,好看真的好看，又烧脑又感人,2
阴阳🔴 风水 🔴天人合一🔴,,5.0,成都,不错 值得推荐,2
Rachel,2.0,5.0,成都,真的完美，开头的监狱场景与最后自首首尾呼应，拳赛与误杀的展开，羊的几次出现，也是众生相的映照，佛像的两次出现，以及布施的成功与否，还有时间的错位，蒙太奇的手法，各种反转等，都是本片的精彩所在！,2
阿敌,1.0,4.5,昆明,电影不错，值得说的是肖央的眼睛，那眼神戏太足了，整部影片除了前半部分的铺垫，后面节奏都很快，而且整条故事线中各部分起承转合安排得很合理，节奏把控也很好，但是相较于原版有部分改动，最后的肖央自首，以及转移尸体到警察局这些。。。。当然结尾的彩蛋呼应开头，也算是别有用心，让我原谅了开头那一段莫名其妙的剧情。,2
YH,,3.0,太仓,剧情过于简单,2
FLw881679551,,5.0,西安,有点恐怖，剧情很精彩，最后有点感动。,2
薯片,2.0,5.0,莆田,超级奈斯，全程都很棒，就是最后那个男的，到底在哪发现的，是在那个房子底下吗？？？,3
f80808080,,5.0,武汉,超级超级超级好看，一个镜头也不多，一个镜头也不少!!!特别推荐大家看,2
言不由衷,,5.0,商洛,引人深思的影片，也展现了一个父亲的担当。最令我感动的是父亲发现孩子学会说谎后，自己向孩子做出榜样。,2
梦幻普拉达,1.0,5.0,广州,居然让我看完还烧脑子回忆 曾经也有一部盗梦空间,4
囍愛,2.0,4.5,扶绥县,"挺不错的，演员演的也好，让人很震惊
给我的感受就是，有的时候是一个人的错误让太多人收到伤害了",2
TCD小胖,,5.0,湖州,赞👍可口可乐了看看,2
gZZ290082058,,5.0,当阳,真的真的真的超级好看。强烈推荐大家一定看噢！！！,3
c.3344520,1.0,2.5,贵阳,逻辑电影，逻辑还行，但是跌宕起伏的情节不够,3
佑树523,,5.0,南京,我觉得电影有几个细节值得大家推敲，1-官二代本没死，而是昏后假死，在棺材里面可能因为窒息而死或者恐惧而死（猜测）2-男主应该在转移尸体前就打开过棺材，看到了抓痕和血液，所以在看到🐑的尸体时想到用🐑去替代，这样认为血是🐑的，并且最后的那场雨冲掉了血渍（天祝）3-彩蛋可能很多人没看懂，这个和片开头呼应，抄自国外一个悬疑短片（杀手杀人入狱，串通狱医躺进棺材运出去，然后狱医再把他挖出来，结果出去划燃🔥发现狱医躺在旁边，这是因为杀手杀的人的家人雇了狱警将计就计杀了狱医，让杀手和死者同样活埋而死）这里问题就是这究竟是一开始男主讲给那个老人家的故事，还是自己最后被市长和警长报复的结局就不从得知了！,3
MAX    任性依旧,2.0,5.0,齐齐哈尔,剧情挺好看的，反侦探能力特别强，尤其是哪句你只要看过一千部以上的电影…………另外一面就是在孩子成长过程中不能流掉一点时间，陪伴孩子成长是家长的责任,1
zuI217169134,,5.0,佛山,可以，可以，可以,1
啊溜啊,1.0,5.0,成都,写出了一个男人在面对生活的困难，能够冷静，沉重，有担当，是个了不起的人物。,3
仲夏,,4.5,北京,父亲、丈夫的担当，智慧的力量，正义的美好，人性的复杂，都有。,2
Yeah..——,,5.0,周口,太好看了，好多细节把我女朋友都看哭了！！！,2
Fnf399836394,,5.0,上海,善良就是看你站在哪个角度去看。,2
clear莎莎,2.0,4.0,天津,我觉得整体评分略高了，故事线确实完整，但也不够流畅。以我的智商在制造2-3号证明时我也仅看懂了利用取款和给其他人输入混乱的时间，但我对于住店蛋糕等依旧想不通怎么让证据链闭环。还有最后相对牵强的自首，如果当事人都去自首，结局就是导演为了结果而写的结果，不过依然是部不错的电影，手法运用很可以,2
稥氷百閤,2.0,5.0,武汉,才发现陈思诚监制,3
VRT618629229,1.0,4.5,上高,印度原片早看的，对比之下，改编是成功的。好棒！如果背景放在内地，又会捧红多少城市,2
阳光,1.0,5.0,太原,每个人物演绎的淋漓尽致，给导演，整体点赞,2
Cnboy阿怪,,5.0,西安,肖大叔出品 必属精品,3
消失的你玛玛,2.0,5.0,泸州,全程看的我好紧张！好看！伟大的爸妈，电影来源于生活，经常看到类似的新闻，真的挺难过的，女孩子要保护好自己！男孩子请父母能教育好！,3
blueblue,2.0,5.0,眉山,奔着陈冲去的，老戏骨的电影的确好看。悬疑片，小人物的挣扎，阶层的斗争，底层的自救。孩子教育重要。值得一看,2
TigerChang_,1.0,1.5,成都,三分给肖央和他小女儿还有警局局长的演技，可以说是一手好牌打得稀烂了吧，对于看过原版的人来说这个电影的翻拍可以说是失败的，从人物选角来说警局的坏警察从一开始就是通过咋咋唬唬来强行给你一种很坏很讨人厌的感觉一口台湾腔也是让人很出戏，上司的配音更是像是在读台词一样一点感情都没有，还有男主的老婆跟大女儿从头到尾都是一副死鱼眼扑克脸…真是让人理解不能，原版2小时44分钟的电影被压缩到不到2个小时，一些伏笔处也没有交代清楚是为什么，为什么把车开到湖里（他怎么就知道那里没人不会被发现？）从一开始装修的时候看到那个坑是不是有点太强行了，还有最后为什么要自首，自完首还要越狱，完完全全这一部分是没有必要的。,4
_qq5h31412426059,,5.0,广州,超级好看，年尾惊喜,3
oZv643255659,1.0,5.0,烟台,很好的👌一部电影,1
lwG943428042,,5.0,深圳,好看，电影剧情很精彩,3
Ocean,2.0,5.0,东莞,我只能说我被感动了,2
枫的传承,,2.5,北京,全剧都很好，结尾让我如同吃了死苍蝇，主旋律可以，但问题你故事不是发生在泰国吗？做了这么多又是强化证人，又是教育家人，转移尸体等等，最后认罪了？抱歉，这种结尾毁了你之前一切的努力。,2
王浩5201314,1.0,4.5,灌云,很有故事情节，表演到位,3
w,2.0,5.0,南昌,超级超级好看天哪,2
绝代双娇,1.0,5.0,深圳,今年看过的最好看的国产片！对肖央刮目相看…演技真的太好了 虽然猜到了后期剧情走向但依旧非常过瘾！如果结局能够再狠一些就完美了…,4
ZHANGLR7,,4.5,佛山,好看，演技一流。。。,2
怀恋some,,5.0,万州,剧情中规中矩，没有什么太明显的瑕疵，就是女儿你竟然叫梁家辉来演，那帅哥怎么看上的,1
